CountryID;Country name;ID Região;Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect;Negative affect
1;Afghanistan;10;2375;7697;420;52400;394;-108;924;351;502
2;Albania;5;4995;9544;686;69000;777;-99;914;681;274
3;Algeria;3;4745;9337;803;66100;385;5;741;585;215
4;Argentina;4;6086;10000;896;69000;817;-211;830;826;319
5;Armenia;8;5488;9522;782;67200;844;-172;583;598;430
6;Australia;2;7234;10815;943;73900;918;121;430;770;202
7;Austria;1;7195;10939;964;73300;903;60;457;774;205
8;Azerbaijan;8;5173;9575;887;65800;854;-214;457;643;164
9;Bahrain;3;7098;10715;878;69300;907;48;0;762;317
10;Bangladesh;10;5114;8467;673;64800;902;-51;656;537;369
11;Belarus;8;5821;9860;917;66400;657;-186;546;591;190
12;Belgium;1;6772;10853;884;72200;776;-172;672;733;244
13;Benin;9;4976;8098;442;54700;770;-16;698;659;441
14;Bolivia;4;5674;9074;784;63900;881;-86;857;751;419
15;Bosnia and Herzegovina;5;6016;9609;873;68100;722;79;963;633;238
16;Botswana;9;3471;9785;774;59600;833;-239;792;712;273
17;Brazil;4;6451;9592;899;66600;830;-62;762;761;337
18;Bulgaria;5;5108;10047;948;67000;822;-109;943;663;200
19;Burkina Faso;9;4741;7691;683;54400;678;-4;729;691;365
20;Cambodia;7;4998;8387;759;62000;957;13;828;844;390
21;Cameroon;9;4937;8203;711;53500;712;-8;817;629;326
22;Canada;2;7109;10800;925;73800;912;112;436;822;285
23;Chad;9;4251;7365;640;48700;537;55;832;587;460
24;Chile;4;5942;10095;869;70000;659;-103;860;809;337
25;China;6;5144;9688;822;69600;927;-173;0;891;147
26;Colombia;4;6350;9598;873;68000;822;-172;854;822;322
27;Comoros;9;4609;8033;632;57500;538;77;762;736;336
28;Congo (Brazzaville);9;5213;8101;625;58500;686;-46;741;645;405
29;Costa Rica;4;6998;9885;906;71500;927;-146;836;848;303
30;Croatia;5;5626;10258;936;70800;739;-137;932;551;269
31;Cyprus;1;6137;10585;776;73900;740;-8;865;763;290
32;Denmark;1;7693;10954;958;72700;963;20;174;862;181
33;Dominican Republic;4;6004;9821;884;66100;877;-123;746;784;264
34;Ecuador;4;5809;9339;808;68800;830;-115;839;811;374
35;Egypt;3;4328;9373;772;62000;774;-199;0;517;313
36;El Salvador;4;6455;9080;764;66400;877;-109;682;871;271
37;Estonia;5;6035;10511;934;68800;887;-96;576;804;156
38;Ethiopia;9;4100;7705;748;59000;754;53;732;631;283
39;Finland;1;7780;10792;937;72000;948;-52;195;755;181
40;France;1;6690;10740;958;74000;827;-133;568;735;250
41;Gabon;9;4914;9607;763;60200;736;-203;846;693;413
42;Gambia;9;5164;7699;694;55300;677;410;798;773;401
43;Georgia;8;4892;9617;675;64300;811;-260;647;604;244
44;Germany;1;7035;10893;886;72500;885;57;462;751;226
45;Ghana;9;4967;8596;746;57600;787;116;857;682;270
46;Greece;1;5952;10319;891;72600;614;-289;848;668;236
47;Guatemala;4;6262;9064;774;65100;901;-62;773;859;311
48;Guinea;9;4768;7849;655;55500;691;97;756;685;473
49;Honduras;4;5930;8653;797;67400;846;63;815;850;279
50;Hong Kong S.A.R. of China;6;5659;11000;856;0;727;67;432;599;358
51;Hungary;5;6000;10393;947;68000;798;-195;884;743;180
52;Iceland;1;7533;10931;982;73000;959;0;699;836;178
53;India;10;3249;8818;561;60500;876;112;752;648;466
54;Indonesia;7;5347;9377;802;62300;866;555;861;877;302
55;Iran;3;5006;0;698;66300;623;0;728;600;449
56;Ireland;1;7255;11371;944;72400;892;74;373;807;223
57;Israel;3;7332;10601;946;73500;834;85;743;635;266
58;Italy;1;6445;10655;838;73800;709;-82;866;631;328
59;Ivory Coast;9;5392;8564;679;50100;736;-17;799;674;425
60;Jamaica;4;6309;9186;878;67500;891;-137;885;752;195
61;Japan;6;5908;10632;878;75100;806;-255;617;743;194
62;Jordan;3;4453;9201;793;67000;726;-165;0;0;0
63;Kazakhstan;8;6272;10179;951;65200;852;-55;708;787;139
64;Kenya;9;4619;8373;676;60700;818;310;794;751;251
65;Kosovo;5;6425;9339;843;0;841;247;920;749;141
66;Kuwait;3;6106;10817;842;66900;867;-104;0;695;303
67;Kyrgyzstan;8;5685;8567;877;64400;920;-2;885;766;207
68;Laos;7;5197;8965;729;59100;906;61;620;878;306
69;Latvia;5;5970;10336;936;67100;698;-194;789;575;212
70;Lebanon;3;4024;9597;866;67600;447;-81;890;322;494
71;Lesotho;9;3512;7926;790;48700;716;-131;915;735;273
72;Liberia;9;5121;7264;712;56900;706;51;828;636;389
73;Libya;3;5330;9627;827;62300;762;-73;686;709;401
74;Lithuania;5;6064;10518;918;67900;780;-251;783;566;276
75;Luxembourg;1;7404;11648;912;72600;930;-45;390;789;212
76;Madagascar;9;4339;7406;701;59500;550;-12;720;723;304
77;Malawi;9;3869;6966;549;58300;765;4;680;537;348
78;Malaysia;7;5428;10252;842;67200;916;123;782;834;176
79;Mali;9;4988;7752;755;52200;670;-38;846;712;358
80;Malta;1;6733;10677;922;72200;924;87;689;707;356
81;Mauritania;9;4153;8556;798;57300;628;-102;743;692;260
82;Mauritius;9;6241;10043;913;66700;893;-53;810;808;149
83;Mexico;4;6432;9891;852;68600;903;-141;809;864;252
84;Moldova;8;5803;9475;809;65700;784;-92;884;631;262
85;Mongolia;6;5563;9418;946;62500;711;149;873;707;167
86;Montenegro;5;5386;9970;832;68700;694;-105;820;591;366
87;Morocco;3;5057;8925;535;66200;757;-244;757;589;410
88;Mozambique;9;4932;7155;742;55200;870;73;682;587;384
89;Myanmar;7;4434;8545;763;59300;899;561;682;755;286
90;Namibia;9;4436;9173;845;56800;739;-174;879;672;256
91;Nepal;10;5449;8136;772;64600;790;167;712;536;357
92;Netherlands;1;7425;10953;941;72400;886;213;360;838;231
93;New Zealand;2;7205;10666;939;73400;912;157;234;816;191
94;Nicaragua;4;6113;8595;874;67800;883;29;622;835;337
95;Niger;9;5004;7106;677;54000;831;26;729;816;304
96;Nigeria;9;4356;8544;734;50100;729;32;873;715;245
97;North Cyprus;1;5467;0;803;0;793;0;640;494;296
98;North Macedonia;5;5015;9711;815;65474;725;24;923;576;304
99;Norway;1;7442;11061;942;73300;954;111;271;823;195
100;Pakistan;10;4443;8453;617;58900;685;124;776;581;424
101;Palestinian Territories;3;4483;0;833;0;653;0;829;625;400
102;Panama;4;6086;10356;886;69700;883;-199;869;878;244
103;Paraguay;4;5653;9448;892;65900;876;28;882;858;275
104;Peru;4;5999;9461;809;68400;815;-130;874;820;375
105;Philippines;7;6268;9095;845;62000;910;-83;748;781;341
106;Poland;5;6242;10407;878;69700;883;-231;696;725;168
107;Portugal;1;6095;10457;876;72600;882;-234;915;710;300
108;Romania;5;6130;10306;842;67500;848;-221;954;697;244
109;Russia;8;5441;10205;910;64700;715;-116;848;691;200
110;Rwanda;9;3268;7708;489;61700;869;64;168;736;418
111;Saudi Arabia;3;6561;10757;912;66600;891;-147;0;732;238
112;Senegal;9;5489;8130;688;60000;759;-19;796;789;332
113;Serbia;5;6241;9808;903;68600;753;-40;813;509;242
114;Sierra Leone;9;3447;7449;611;52400;718;74;874;513;438
115;Singapore;7;6378;11486;925;77100;938;27;70;723;138
116;Slovakia;5;6243;10398;933;69200;771;-129;926;750;252
117;Slovenia;5;6665;10563;949;71400;945;-102;785;679;228
118;South Africa;9;5035;9432;848;56900;738;-134;820;801;268
119;South Korea;6;5903;10661;783;73900;706;-55;718;684;236
120;Spain;1;6457;10618;949;74700;778;-49;730;663;316
121;Sri Lanka;10;4213;9479;815;67400;824;51;863;816;315
122;Swaziland;9;4396;9070;759;51270;597;-191;724;778;280
123;Sweden;1;7398;10882;934;72700;942;91;250;826;202
124;Switzerland;1;7694;11136;949;74400;913;36;294;798;171
125;Taiwan Province of China;6;6537;0;893;0;814;0;718;860;93
126;Tajikistan;8;5464;8126;880;64400;0;-45;490;729;178
127;Tanzania;9;3640;7886;687;58000;850;100;589;726;243
128;Thailand;7;6022;9824;903;67400;898;309;877;843;208
129;Togo;9;4179;7375;539;55100;617;65;737;590;444
130;Tunisia;3;4315;9283;610;67200;659;-209;889;539;433
131;Turkey;3;4872;10246;792;67200;631;-136;760;422;368
132;Turkmenistan;8;5474;9651;982;62600;892;285;0;510;183
133;Uganda;9;4948;7688;805;56100;704;139;826;693;385
134;Ukraine;8;4702;9458;883;64900;715;-81;885;634;201
135;United Arab Emirates;3;6711;11114;862;67300;911;129;0;793;284
136;United Kingdom;1;7157;10751;943;72500;854;271;485;775;251
137;United States;2;6944;11043;917;68200;836;144;707;815;244
138;Uruguay;4;6600;9979;933;69100;903;-95;599;889;222
139;Uzbekistan;8;6154;8853;915;65400;970;304;511;845;220
140;Venezuela;4;5081;0;888;66700;626;0;839;761;351
141;Vietnam;7;5467;8992;848;68100;952;-126;788;751;186
142;Yemen;3;4197;0;870;57500;651;0;798;543;213
143;Zambia;9;3307;8155;638;55800;811;77;832;743;394
144;Zimbabwe;9;2694;7950;759;56200;632;-64;831;716;235
